"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Registration","","0","0","3","0","0"
"","Save data","","0","0","1","0","0"
"","Login","","0","0","2","0","0"
"","Send Review","","0","0","3","0","0"
"","Pagination","","0","0","1","0","0"
"","Change user Data","","0","0","1","0","0"
"","Add to cart","","0","0","2","0","0"
"","Listing","","0","0","1","0","0"
"","Logout","","0","0","1","0","0"
